Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,01-Apr-2024,25-Apr-2024,CE,19600.00,2983.60,3020.00,2973.25,2981.00,2991.00,2981.00,486.00,5489.50,726.70,196150.00,-17700.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,19650.00,-,-,-,2845.00,2845.00,2907.15,-,-,-,250.00,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,19700.00,-,-,-,2750.00,2750.00,2857.40,-,-,-,3950.00,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,19750.00,2860.00,2860.00,2860.00,2860.00,2860.00,2807.65,4.00,45.22,5.72,200.00,150.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,19800.00,2800.00,2800.00,2800.00,2800.00,2800.00,2757.90,4.00,45.20,5.60,6750.00,-100.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,19850.00,2750.00,2752.00,2750.00,2750.75,2752.00,2750.75,8.00,90.40,11.00,1850.00,-150.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,19900.00,2626.00,2726.00,2626.00,2696.95,2696.95,2658.45,6.00,67.79,8.09,4750.00,300.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,19950.00,-,-,-,2550.70,2550.70,2608.70,-,-,-,100.00,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20000.00,2500.00,2643.20,2500.00,2585.80,2595.00,2585.80,8524.00,96308.52,11068.52,1543600.00,-352750.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20050.00,-,-,-,2299.50,2299.50,2509.25,-,-,-,250.00,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20100.00,-,-,-,2352.50,2355.00,2459.55,-,-,-,3100.00,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20150.00,-,-,-,2300.00,2300.00,2409.85,-,-,-,300.00,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20200.00,2395.00,2432.00,2360.00,2360.00,2360.00,2360.15,14.00,158.18,16.78,7550.00,500.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20250.00,-,-,-,1591.85,-,2310.50,-,-,-,-,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20300.00,2310.00,2310.00,2257.80,2269.95,2269.95,2260.85,17.00,191.99,19.44,13350.00,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20350.00,-,-,-,1511.75,-,2211.20,-,-,-,-,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20400.00,2203.30,2203.30,2158.20,2175.20,2175.20,2161.60,14.00,158.11,15.31,4600.00,-50.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20450.00,-,-,-,1884.45,1884.45,2112.05,-,-,-,100.00,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20500.00,2059.95,2140.00,2057.20,2090.45,2106.35,2090.45,986.00,11141.88,1035.38,343150.00,-34950.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20550.00,-,-,-,1357.05,-,2013.05,-,-,-,-,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20600.00,2024.10,2024.10,1955.00,1955.00,1955.00,1963.65,8.00,90.33,7.93,9350.00,200.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20650.00,-,-,-,1884.00,1884.00,1914.30,-,-,-,450.00,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20700.00,1894.05,1928.10,1872.25,1918.90,1928.10,1918.90,10.00,112.98,9.48,44750.00,50.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20750.00,-,-,-,1580.70,1580.70,1815.90,-,-,-,300.00,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20800.00,1783.95,1825.00,1783.95,1796.65,1796.60,1796.65,28.00,316.40,25.20,23050.00,400.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20850.00,-,-,-,1139.95,-,1717.90,-,-,-,-,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20900.00,1669.90,1698.25,1669.90,1698.25,1698.25,1698.25,4.00,45.17,3.37,8400.00,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,20950.00,-,-,-,1072.05,-,1620.45,-,-,-,-,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21000.00,1600.00,1655.00,1548.50,1599.55,1606.40,1599.55,3982.00,45020.80,3209.80,807850.00,-156400.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21050.00,1531.25,1572.25,1531.25,1572.25,1572.25,1572.25,4.00,45.20,3.10,950.00,50.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21100.00,1495.80,1495.80,1495.80,1495.80,1495.80,1475.75,1.00,11.30,0.75,7900.00,50.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21150.00,1439.55,1476.10,1439.55,1476.10,1476.10,1476.10,5.00,56.52,3.65,750.00,100.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21200.00,1425.10,1432.55,1391.00,1397.20,1397.20,1380.50,45.00,509.03,32.03,21300.00,1600.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21250.00,1343.65,1384.00,1339.25,1339.25,1339.25,1333.30,5.00,56.50,3.37,1350.00,50.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21300.00,1334.00,1354.00,1279.90,1315.50,1315.50,1315.50,35.00,395.72,22.97,29850.00,800.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21350.00,1253.75,1293.00,1248.55,1248.55,1248.55,1240.10,7.00,79.15,4.42,1100.00,250.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21400.00,1208.80,1250.00,1208.20,1209.90,1222.85,1209.90,25.00,282.76,15.26,16350.00,-350.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21450.00,1156.50,1191.00,1150.00,1185.00,1185.00,1185.00,8.00,90.48,4.68,850.00,150.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21500.00,1050.00,1170.00,1050.00,1123.95,1127.00,1123.95,1889.00,21375.40,1068.65,333650.00,-27700.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21550.00,-,-,-,945.90,985.20,1059.00,-,-,-,8450.00,-,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21600.00,1029.00,1069.25,999.00,1029.75,1034.60,1029.75,88.00,995.79,45.39,55450.00,-1250.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21650.00,975.00,998.40,975.00,991.30,991.70,991.30,20.00,226.36,9.86,1700.00,150.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21700.00,938.00,985.00,918.80,939.25,940.90,939.25,185.00,2094.68,87.43,64850.00,50.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21750.00,912.00,928.75,912.00,915.00,915.00,887.30,24.00,271.99,10.99,10150.00,800.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21800.00,810.00,898.55,810.00,857.10,851.95,857.10,247.00,2798.95,106.65,83550.00,-1850.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21850.00,807.85,843.00,785.60,813.70,810.40,813.70,65.00,736.60,26.48,9350.00,400.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21900.00,749.95,811.80,737.50,760.40,767.10,760.40,450.00,5101.58,174.08,63050.00,-5300.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,21950.00,730.50,764.45,698.60,726.30,727.40,726.30,148.00,1678.25,53.95,7300.00,-1500.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22000.00,650.00,727.70,643.20,680.10,683.00,680.10,17194.00,195082.00,5948.00,1236100.00,-53700.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22050.00,651.50,682.30,614.20,640.40,641.05,640.40,314.00,3563.33,101.48,29100.00,7700.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22100.00,547.80,645.25,547.80,598.10,606.00,598.10,2559.00,29064.55,787.60,234150.00,-53250.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22150.00,538.00,600.50,538.00,561.95,565.10,561.95,607.00,6896.20,173.67,52200.00,-2050.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22200.00,456.90,568.45,456.90,518.65,525.00,518.65,9275.00,105412.31,2459.81,494150.00,-52500.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22250.00,471.50,530.20,469.35,488.60,489.10,488.60,918.00,10443.47,230.72,40200.00,-5150.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22300.00,430.00,497.00,424.55,452.65,455.00,452.65,12365.00,140756.67,2886.92,716700.00,-39100.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22350.00,414.50,462.55,400.00,418.50,421.75,418.50,1405.00,16002.32,301.44,55900.00,-6300.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22400.00,380.00,438.00,360.55,385.50,387.00,385.50,23204.00,264494.87,4610.07,956200.00,87700.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22450.00,360.00,395.45,333.95,351.75,354.00,351.75,4670.00,53276.85,856.10,91050.00,15000.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22500.00,322.45,363.25,303.80,321.25,324.00,321.25,80308.00,916931.91,13466.91,2562150.00,240800.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22550.00,300.05,333.00,276.90,292.75,294.00,292.75,3212.00,36712.61,497.31,77250.00,29200.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22600.00,278.80,306.00,250.10,265.55,265.80,265.55,51536.00,589701.89,7345.09,1068400.00,334800.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22650.00,252.00,276.50,227.70,239.15,254.30,239.15,2731.00,31278.82,350.24,78050.00,40050.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22700.00,211.05,251.00,201.50,213.80,215.50,213.80,27889.00,319728.74,3188.59,697200.00,98400.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22750.00,210.55,226.85,180.40,191.45,191.00,191.45,2760.00,31681.79,286.79,76300.00,22850.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22800.00,199.00,204.30,159.40,168.70,168.20,168.70,19989.00,229681.41,1806.81,675950.00,104600.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22850.00,163.95,183.00,141.10,149.35,149.15,149.35,2246.00,25844.12,183.57,63300.00,25400.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22900.00,144.95,163.15,122.00,130.20,130.40,130.20,11578.00,133398.95,830.85,429800.00,94150.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,22950.00,122.15,145.05,108.15,114.90,115.10,114.90,2677.00,30883.70,165.12,47750.00,11400.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23000.00,105.00,130.50,93.70,100.05,101.00,100.05,65852.00,761017.10,3719.10,2270150.00,-177200.00,22462.00
NIFTY,01-Apr-2024,25-Apr-2024,CE,23050.00,96.00,113.45,80.50,84.95,86.30,84.95,4538.00,52516.76,216.31,80150.00,46650.00,22462.00
